Name,Text,Type
1052.Grumpy-Bookstore-Owner,"There is a bookstore owner that has a store open for n minutes. Every minute, some number of customers enter the store. You are given an integer array customers of length n where customers[i] is the number of the customer that enters the store at the start of the ith minute and all those customers leave after the end of that minute.On some minutes, the bookstore owner is grumpy. You are given a binary array grumpy where grumpy[i] is 1 if the bookstore owner is grumpy during the ith minute, and is 0 otherwise.When the bookstore owner is grumpy, the customers of that minute are not satisfied, otherwise, they are satisfied.The bookstore owner knows a secret technique to keep themselves not grumpy for minutes consecutive minutes, but can only use it once.Return the maximum number of customers that can be satisfied throughout the day. Example 1:Example 2: Constraints:",Two_Pointers
1838.Frequency-of-the-Most-Frequent-Element,NOLEETCODE LINK,Two_Pointers
395.Longest-Substring-with-At-Least-K-Repeating-Characters,"Given a string s and an integer k, return the length of the longest substring of s such that the frequency of each character in this substring is greater than or equal to k. Example 1:Example 2: Constraints:",Recursion
1763.Longest-Nice-Substring,NOLEETCODE LINK,Two_Pointers
2009.Minimum-Number-of-Operations-to-Make-Array-Continuous,NOLEETCODE LINK,Two_Pointers
2024.Maximize-the-Confusion-of-an-Exam,NOLEETCODE LINK,Two_Pointers
424.Longest-Repeating-Character-Replacement,You are given a string s and an integer k. You can choose any character of the string and change it to any other uppercase English character. You can perform this operation at most k times.Return the length of the longest substring containing the same letter you can get after performing the above operations. Example 1:Example 2: Constraints:,Two_Pointers
076.Minimum-Window-Substring,"Given two strings s and t of lengths m and n respectively, return the minimum window substring of s such that every character in t (including duplicates) is included in the window. If there is no such substring, return the empty string """".The testcases will be generated such that the answer is unique.A substring is a contiguous sequence of characters within the string. Example 1:Example 2:Example 3: Constraints: ",Two_Pointers
003.Longest%20Substring%20Without%20Repeating%20Characters,"Given a string s, find the length of the longest substring without repeating characters. Example 1:Example 2:Example 3: Constraints:",Two_Pointers
159.Longest-Substring-with-At-Most-Two-Distinct-Characters,PREMIUMLOCKED,Two_Pointers
340.Longest-Substring-with-At-Most-K-Distinct-Characters,PREMIUMLOCKED,Two_Pointers
992.Subarrays-with-K-Different-Integers,"Given an integer array nums and an integer k, return the number of good subarrays of nums.A good array is an array where the number of different integers in that array is exactly k.A subarray is a contiguous part of an array. Example 1:Example 2: Constraints:",Two_Pointers
986.Interval-List-Intersections,NOLEETCODE LINK,Two_Pointers
1229.Meeting-Scheduler,NOLEETCODE LINK,Two_Pointers
1537.Get-the-Maximum-Score,NOLEETCODE LINK,Two_Pointers
1577.Number-of-Ways-Where-Square-of-Number-Is-Equal-to-Product-of-Two-Numbers,NOLEETCODE LINK,Two_Pointers
1775.Equal-Sum-Arrays-With-Minimum-Number-of-Operations,NOLEETCODE LINK,Two_Pointers
1868.Product-of-Two-Run-Length-Encoded-Arrays,NOLEETCODE LINK,Two_Pointers
004.Median-of-Two-Sorted-Arrays,"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays.The overall run time complexity should be O(log (m+n)). Example 1:Example 2: Constraints:",Priority_Queue
153.Find-Minimum-in-Rotated-Sorted-Array,NOLEETCODE LINK,Binary_Search
154.Find-Minimum-in-Rotated-Sorted-Array-II,"Suppose an array of length n sorted in ascending order is rotated between 1 and n times. For example, the array nums = [0,1,4,4,5,6,7] might become:Notice that rotating an array [a[0], a[1], a[2], ..., a[n-1]] 1 time results in the array [a[n-1], a[0], a[1], a[2], ..., a[n-2]].Given the sorted rotated array nums that may contain duplicates, return the minimum element of this array.You must decrease the overall operation steps as much as possible. Example 1:Example 2: Constraints: Follow up: This problem is similar to Find Minimum in Rotated Sorted Array, but nums may contain duplicates. Would this affect the runtime complexity? How and why? ",Binary_Search
033.Search-in-Rotated-Sorted-Array,"There is an integer array nums sorted in ascending order (with distinct values).Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2].Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums.You must write an algorithm with O(log n) runtime complexity. Example 1:Example 2:Example 3: Constraints:",Binary_Search
081.Search-in-Rotated-Sorted-Array-II,"There is an integer array nums sorted in non-decreasing order (not necessarily with distinct values).Before being passed to your function, nums is rotated at an unknown pivot index k (0 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,4,4,5,6,6,7] might be rotated at pivot index 5 and become [4,5,6,6,7,0,1,2,4,4].Given the array nums after the rotation and an integer target, return true if target is in nums, or false if it is not in nums.You must decrease the overall operation steps as much as possible. Example 1:Example 2: Constraints: Follow up: This problem is similar to Search in Rotated Sorted Array, but nums may contain duplicates. Would this affect the runtime complexity? How and why?",Binary_Search
034.Search-for-a-Range,"Sorry, but we can't find the page you are looking for...",Binary_Search
162.Find-Peak-Element,"A peak element is an element that is strictly greater than its neighbors.Given an integer array nums, find a peak element, and return its index. If the array contains multiple peaks, return the index to any of the peaks.You may imagine that nums[-1] = nums[n] = -∞.You must write an algorithm that runs in O(log n) time. Example 1:Example 2: Constraints:",Binary_Search
222.Count-Complete-Tree-Nodes,"Given the root of a complete binary tree, return the number of the nodes in the tree.According to Wikipedia, every level, except possibly the last, is completely filled in a complete binary tree, and all nodes in the last level are as far left as possible. It can have between 1 and 2h nodes inclusive at the last level h.Design an algorithm that runs in less than O(n) time complexity. Example 1:Example 2:Example 3: Constraints:",Tree
275.H-Index-II,"Given an array of integers citations where citations[i] is the number of citations a researcher received for their ith paper and citations is sorted in an ascending order, return compute the researcher's h-index.According to the definition of h-index on Wikipedia: A scientist has an index h if h of their n papers have at least h citations each, and the other n − h papers have no more than h citations each.If there are several possible values for h, the maximum one is taken as the h-index.You must write an algorithm that runs in logarithmic time. Example 1:Example 2: Constraints:",Binary_Search
302.Smallest-Rectangle-Enclosing-Black-Pixels,PREMIUMLOCKED,Binary_Search
410.Split-Array-Largest-Sum,"Given an array nums which consists of non-negative integers and an integer m, you can split the array into m non-empty continuous subarrays.Write an algorithm to minimize the largest sum among these m subarrays. Example 1:Example 2:Example 3: Constraints:",Dynamic_Programming
475.Heaters,"Winter is coming! During the contest, your first job is to design a standard heater with a fixed warm radius to warm all the houses.Every house can be warmed, as long as the house is within the heater's warm radius range. Given the positions of houses and heaters on a horizontal line, return the minimum radius standard of heaters so that those heaters could cover all houses.Notice that all the heaters follow your radius standard, and the warm radius will the same. Example 1:Example 2:Example 3: Constraints:",Binary_Search
029.Divide-Two-Integers,"Given two integers dividend and divisor, divide two integers without using multiplication, division, and mod operator.The integer division should truncate toward zero, which means losing its fractional part. For example, 8.345 would be truncated to 8, and -2.7335 would be truncated to -2.Return the quotient after dividing dividend by divisor.Note: Assume we are dealing with an environment that could only store integers within the 32-bit signed integer range: [−231, 231 − 1]. For this problem, if the quotient is strictly greater than 231 - 1, then return 231 - 1, and if the quotient is strictly less than -231, then return -231. Example 1:Example 2: Constraints:",Binary_Search
644.Maximum-Average-Subarray-II,PREMIUMLOCKED,Dynamic_Programming
658.Find-K-Closest-Elements,"Given a sorted integer array arr, two integers k and x, return the k closest integers to x in the array. The result should also be sorted in ascending order.An integer a is closer to x than an integer b if: Example 1:Example 2: Constraints:",Binary_Search
1157.Online-Majority-Element-In-Subarray,Design a data structure that efficiently finds the majority element of a given subarray.The majority element of a subarray is an element that occurs threshold times or more in the subarray.Implementing the MajorityChecker class: Example 1: Constraints:,Binary_Search
1533.Find-the-Index-of-the-Large-Integer,NOLEETCODE LINK,Binary_Search
1712.Ways-to-Split-Array-Into-Three-Subarrays,NOLEETCODE LINK,Binary_Search
1889.Minimum-Space-Wasted-From-Packaging,NOLEETCODE LINK,Binary_Search
1901.Find-a-Peak-Element-II,NOLEETCODE LINK,Binary_Search
1483.Kth-Ancestor-of-a-Tree-Node,NOLEETCODE LINK,Binary_Search
1922.Count-Good-Numbers,NOLEETCODE LINK,Binary_Search
215.Kth-Largest-Element-in-an-Array,"Given an integer array nums and an integer k, return the kth largest element in the array.Note that it is the kth largest element in the sorted order, not the kth distinct element. Example 1:Example 2: Constraints:",Binary_Search
287.Find-the-Duplicate-Number,"Given an array of integers nums containing n + 1 integers where each integer is in the range [1, n] inclusive.There is only one repeated number in nums, return this repeated number.You must solve the problem without modifying the array nums and uses only constant extra space. Example 1:Example 2: Constraints: Follow up:",Binary_Search
378.Kth-Smallest-Element-in-a-Sorted-Matrix,"Given an n x n matrix where each of the rows and columns is sorted in ascending order, return the kth smallest element in the matrix.Note that it is the kth smallest element in the sorted order, not the kth distinct element.You must find a solution with a memory complexity better than O(n2). Example 1:Example 2: Constraints: Follow up:",Binary_Search
373.Find-K-Pairs-with-Smallest-Sums,"You are given two integer arrays nums1 and nums2 sorted in ascending order and an integer k.Define a pair (u, v) which consists of one element from the first array and one element from the second array.Return the k pairs (u1, v1), (u2, v2), ..., (uk, vk) with the smallest sums. Example 1:Example 2:Example 3: Constraints:",Binary_Search
668.Kth-Smallest-Number-in-Multiplication-Table,"Nearly everyone has used the Multiplication Table. The multiplication table of size m x n is an integer matrix mat where mat[i][j] == i * j (1-indexed).Given three integers m, n, and k, return the kth smallest element in the m x n multiplication table. Example 1:Example 2: Constraints:",Binary_Search
719.Find-K-th-Smallest-Pair-Distance,"The distance of a pair of integers a and b is defined as the absolute difference between a and b.Given an integer array nums and an integer k, return the kth smallest distance among all the pairs nums[i] and nums[j] where 0 <= i < j < nums.length. Example 1:Example 2:Example 3: Constraints:",Binary_Search
1918.Kth-Smallest-Subarray-Sum,NOLEETCODE LINK,Binary_Search
2040.Kth-Smallest-Product-of-Two-Sorted-Arrays,NOLEETCODE LINK,Binary_Search
1439.Find-the-Kth-Smallest-Sum-of-a-Matrix-With-Sorted-Rows,NOLEETCODE LINK,Priority_Queue
774.Minimize-Max-Distance-to-Gas-Station,PREMIUMLOCKED,Priority_Queue
786.K-th%20Smallest-Prime-Fraction,"You are given a sorted integer array arr containing 1 and prime numbers, where all the integers of arr are unique. You are also given an integer k.For every i and j where 0 <= i < j < arr.length, we consider the fraction arr[i] / arr[j].Return the kth smallest fraction considered. Return your answer as an array of integers of size 2, where answer[0] == arr[i] and answer[1] == arr[j]. Example 1:Example 2: Constraints:",Binary_Search
793.Preimage-Size-of-Factorial-Zeroes-Function,"Let f(x) be the number of zeroes at the end of x!. Recall that x! = 1 * 2 * 3 * ... * x and by convention, 0! = 1.Given an integer k, return the number of non-negative integers x have the property that f(x) = k. Example 1:Example 2:Example 3: Constraints:",Binary_Search
1011.Capacity-To-Ship-Packages-Within-D-Days,NOLEETCODE LINK,Binary_Search
1102.Path-With-Maximum-Minimum-Value,PREMIUMLOCKED,Binary_Search
1539.Kth-Missing-Positive-Number,NOLEETCODE LINK,Binary_Search
1201.Ugly-Number-III,"An ugly number is a positive integer that is divisible by a, b, or c.Given four integers n, a, b, and c, return the nth ugly number. Example 1:Example 2:Example 3: Constraints:",Binary_Search
1231.Divide-Chocolate,NOLEETCODE LINK,Binary_Search
1283.Find-the-Smallest-Divisor-Given-a-Threshold,NOLEETCODE LINK,Binary_Search
1292.Maximum-Side-Length-of-a-Square-with-Sum-Less-than-or-Equal-to-Threshold,NOLEETCODE LINK,Binary_Search
1300.Sum-of-Mutated-Array-Closest-to-Target,NOLEETCODE LINK,Binary_Search
1482.Minimum-Number-of-Days-to-Make-m-Bouquets,NOLEETCODE LINK,Binary_Search
1508.Range-Sum-of-Sorted-Subarray-Sums,NOLEETCODE LINK,Binary_Search
1552.Magnetic-Force-Between-Two-Balls,NOLEETCODE LINK,Binary_Search
1608.Special-Array-With-X-Elements-Greater-Than-or-Equal-X,NOLEETCODE LINK,Binary_Search
1648.Sell-Diminishing-Valued-Colored-Balls,NOLEETCODE LINK,Binary_Search
1802.Maximum-Value-at-a-Given-Index-in-a-Bounded-Array,NOLEETCODE LINK,Binary_Search
1870.Minimum-Speed-to-Arrive-on-Time,NOLEETCODE LINK,Binary_Search
1898.Maximum-Number-of-Removable-Characters,NOLEETCODE LINK,Binary_Search
1891.Cutting-Ribbons,NOLEETCODE LINK,Binary_Search
2064.Minimized-Maximum-of-Products-Distributed-to-Any-Store,NOLEETCODE LINK,Binary_Search
2071.Maximum-Number-of-Tasks-You-Can-Assign,NOLEETCODE LINK,Binary_Search
2102.Sequentially-Ordinal-Rank-Tracker,NOLEETCODE LINK,Heap
049.Group-Anagrams,"Given an array of strings strs, group the anagrams together. You can return the answer in any order.An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once. Example 1:Example 2:Example 3: Constraints:",Hash
149.Max-Points-on-a-Line,"Given an array of points where points[i] = [xi, yi] represents a point on the X-Y plane, return the maximum number of points that lie on the same straight line. Example 1:Example 2: Constraints:",Hash
166.Fraction-to-Recurring-Decimal,"Given two integers representing the numerator and denominator of a fraction, return the fraction in string format.If the fractional part is repeating, enclose the repeating part in parentheses.If multiple answers are possible, return any of them.It is guaranteed that the length of the answer string is less than 104 for all the given inputs. Example 1:Example 2:Example 3: Constraints:",Hash
170.Two-Sum-III-Data-structure-design,PREMIUMLOCKED,Hash
392.Is-Subsequence,"Given two strings s and t, return true if s is a subsequence of t, or false otherwise.A subsequence of a string is a new string that is formed from the original string by deleting some (can be none) of the characters without disturbing the relative positions of the remaining characters. (i.e., ""ace"" is a subsequence of ""abcde"" while ""aec"" is not). Example 1:Example 2: Constraints: ",Hash
204.Count-Primes,"Given an integer n, return the number of prime numbers that are strictly less than n. Example 1:Example 2:Example 3: Constraints:Let's start with a isPrime function. To determine if a number is prime, we need to check if it is not divisible by any number less than n. The runtime complexity of isPrime function would be O(n) and hence counting the total prime numbers up to n would be O(n2). Could we do better?As we know the number must not be divisible by any number > n / 2, we can immediately cut the total iterations half by dividing only up to n / 2. Could we still do better?Let's write down all of 12's factors:As you can see, calculations of 4 × 3 and 6 × 2 are not necessary. Therefore, we only need to consider factors up to √n because, if n is divisible by some number p, then n = p × q and since p ≤ q, we could derive that p ≤ √n.Our total runtime has now improved to O(n1.5), which is slightly better. Is there a faster approach?The Sieve of Eratosthenes is one of the most efficient ways to find all prime numbers up to n. But don't let that name scare you, I promise that the concept is surprisingly simple.

Sieve of Eratosthenes: algorithm steps for primes below 121. ""Sieve of Eratosthenes Animation"" by SKopp is licensed under CC BY 2.0.
We start off with a table of n numbers. Let's look at the first number, 2. We know all multiples of 2 must not be primes, so we mark them off as non-primes. Then we look at the next number, 3. Similarly, all multiples of 3 such as 3 × 2 = 6, 3 × 3 = 9, ... must not be primes, so we mark them off as well. Now we look at the next number, 4, which was already marked off. What does this tell you? Should you mark off all multiples of 4 as well?4 is not a prime because it is divisible by 2, which means all multiples of 4 must also be divisible by 2 and were already marked off. So we can skip 4 immediately and go to the next number, 5. Now, all multiples of 5 such as 5 × 2 = 10, 5 × 3 = 15, 5 × 4 = 20, 5 × 5 = 25, ... can be marked off. There is a slight optimization here, we do not need to start from 5 × 2 = 10. Where should we start marking off?In fact, we can mark off multiples of 5 starting at 5 × 5 = 25, because 5 × 2 = 10 was already marked off by multiple of 2, similarly 5 × 3 = 15 was already marked off by multiple of 3. Therefore, if the current number is p, we can always mark off multiples of p starting at p2, then in increments of p: p2 + p, p2 + 2p, ... Now what should be the terminating loop condition?It is easy to say that the terminating loop condition is p < n, which is certainly correct but not efficient. Do you still remember Hint #3?Yes, the terminating loop condition can be p < √n, as all non-primes ≥ √n must have already been marked off. When the loop terminates, all the numbers in the table that are non-marked are prime.The Sieve of Eratosthenes uses an extra O(n) memory and its runtime complexity is O(n log log n). For the more mathematically inclined readers, you can read more about its algorithm complexity on Wikipedia.",Hash
274.H-Index,"Given an array of integers citations where citations[i] is the number of citations a researcher received for their ith paper, return compute the researcher's h-index.According to the definition of h-index on Wikipedia: A scientist has an index h if h of their n papers have at least h citations each, and the other n − h papers have no more than h citations each.If there are several possible values for h, the maximum one is taken as the h-index. Example 1:Example 2: Constraints:",Hash
325.Maximum-Size-Subarray-Sum-Equals-k,PREMIUMLOCKED,Hash
409.Longest-Palindrome,"Given a string s which consists of lowercase or uppercase letters, return the length of the longest palindrome that can be built with those letters.Letters are case sensitive, for example, ""Aa"" is not considered a palindrome here. Example 1:Example 2:Example 3: Constraints:",Hash
447.Number-of-Boomerangs,"You are given n points in the plane that are all distinct, where points[i] = [xi, yi]. A boomerang is a tuple of points (i, j, k) such that the distance between i and j equals the distance between i and k (the order of the tuple matters).Return the number of boomerangs. Example 1:Example 2:Example 3: Constraints:",Hash
438.Find-All-Anagrams-in-a-String,"Given two strings s and p, return an array of all the start indices of p's anagrams in s. You may return the answer in any order.An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once. Example 1:Example 2: Constraints:",Hash
356.Line-Reflection,PREMIUMLOCKED,Hash
594.Longest-Harmonious-Subsequence,"We define a harmonious array as an array where the difference between its maximum value and its minimum value is exactly 1.Given an integer array nums, return the length of its longest harmonious subsequence among all its possible subsequences.A subsequence of array is a sequence that can be derived from the array by deleting some or no elements without changing the order of the remaining elements. Example 1:Example 2:Example 3: Constraints:",Hash
532.K-diff-Pairs-in-an-Array,"Given an array of integers nums and an integer k, return the number of unique k-diff pairs in the array.A k-diff pair is an integer pair (nums[i], nums[j]), where the following are true:Notice that |val| denotes the absolute value of val. Example 1:Example 2:Example 3: Constraints:",Hash
446.Arithmetic-Slices-II-Subsequence,"Given an integer array nums, return the number of all the arithmetic subsequences of nums.A sequence of numbers is called arithmetic if it consists of at least three elements and if the difference between any two consecutive elements is the same.A subsequence of an array is a sequence that can be formed by removing some elements (possibly none) of the array.The test cases are generated so that the answer fits in 32-bit integer. Example 1:Example 2: Constraints:",Hash
128.Longest-Consecutive-Sequence,"Given an unsorted array of integers nums, return the length of the longest consecutive elements sequence.You must write an algorithm that runs in O(n) time. Example 1:Example 2: Constraints:",Union_Find
753.Cracking-the-Safe,"There is a safe protected by a password. The password is a sequence of n digits where each digit can be in the range [0, k - 1].The safe has a peculiar way of checking the password. When you enter in a sequence, it checks the most recent n digits that were entered each time you type a digit.Return any string of minimum length that will unlock the safe at some point of entering it. Example 1:Example 2: Constraints:",Hash
890.Find-and-Replace-Pattern,NOLEETCODE LINK,Hash
939.Minimum-Area-Rectangle,"You are given an array of points in the X-Y plane points where points[i] = [xi, yi].Return the minimum area of a rectangle formed from these points, with sides parallel to the X and Y axes. If there is not any such rectangle, return 0. Example 1:Example 2: Constraints:",Hash
1074.Number-of-Submatrices-That-Sum-to-Target,"Given a matrix and a target, return the number of non-empty submatrices that sum to target.A submatrix x1, y1, x2, y2 is the set of all cells matrix[x][y] with x1 <= x <= x2 and y1 <= y <= y2.Two submatrices (x1, y1, x2, y2) and (x1', y1', x2', y2') are different if they have some coordinate that is different: for example, if x1 != x1'. Example 1:Example 2:Example 3: Constraints:",Hash
1487.Making-File-Names-Unique,NOLEETCODE LINK,Hash
1573.Number-of-Ways-to-Split-a-String,NOLEETCODE LINK,Hash
525.Contiguous-Array,"Given a binary array nums, return the maximum length of a contiguous subarray with an equal number of 0 and 1. Example 1:Example 2: Constraints:",Hash
930.Binary-Subarrays-With-Sum,"Given a binary array nums and an integer goal, return the number of non-empty subarrays with a sum goal.A subarray is a contiguous part of the array. Example 1:Example 2: Constraints:",Hash
1442.Count-Triplets-That-Can-Form-Two-Arrays-of-Equal-XOR,NOLEETCODE LINK,Bit_Manipulation
1524.Number-of-Sub-arrays-With-Odd-Sum,NOLEETCODE LINK,Hash
974.Subarray-Sums-Divisible-by-K,NOLEETCODE LINK,Hash
1590.Make-Sum-Divisible-by-P,NOLEETCODE LINK,Hash
1658.Minimum-Operations-to-Reduce-X-to-Zero,NOLEETCODE LINK,Hash
1371.Find-the-Longest-Substring-Containing-Vowels-in-Even-Counts,NOLEETCODE LINK,Hash
1542.Find-Longest-Awesome-Substring,NOLEETCODE LINK,Hash
1915.Number-of-Wonderful-Substrings,NOLEETCODE LINK,Hash
1983.Widest-Pair-of-Indices-With-Equal-Range-Sum,NOLEETCODE LINK,Hash
2025.Maximum-Number-of-Ways-to-Partition-an-Array,NOLEETCODE LINK,Hash
220.Contains-Duplicate-III,NOLEETCODE LINK,Heap
295.Find-Median-from-Data-Stream,"The median is the middle value in an ordered integer list. If the size of the list is even, there is no middle value and the median is the mean of the two middle values.Implement the MedianFinder class: Example 1: Constraints: Follow up:",Heap
363.Max-Sum-of-Rectangle-No-Larger-Than-K,"Given an m x n matrix matrix and an integer k, return the max sum of a rectangle in the matrix such that its sum is no larger than k.It is guaranteed that there will be a rectangle with a sum no larger than k. Example 1:Example 2: Constraints: Follow up: What if the number of rows is much larger than the number of columns?",Heap
352.Data-Stream-as-Disjoint-Intervals,"Given a data stream input of non-negative integers a1, a2, ..., an, summarize the numbers seen so far as a list of disjoint intervals.Implement the SummaryRanges class: Example 1: Constraints: Follow up: What if there are lots of merges and the number of disjoint intervals is small compared to the size of the data stream?",Heap
699.Falling-Squares,"There are several squares being dropped onto the X-axis of a 2D plane.You are given a 2D integer array positions where positions[i] = [lefti, sideLengthi] represents the ith square with a side length of sideLengthi that is dropped with its left edge aligned with X-coordinate lefti.Each square is dropped one at a time from a height above any landed squares. It then falls downward (negative Y direction) until it either lands on the top side of another square or on the X-axis. A square brushing the left/right side of another square does not count as landing on it. Once it lands, it freezes in place and cannot be moved.After each square is dropped, you must record the height of the current tallest stack of squares.Return an integer array ans where ans[i] represents the height described above after dropping the ith square. Example 1:Example 2: Constraints:",Segment_Tree
